Date;heating
5/20/2021 2:22:46 AM;off
5/20/2021 2:25:47 AM;on
5/20/2021 2:25:57 AM;off
5/20/2021 2:30:42 AM;on
5/20/2021 2:30:52 AM;off
5/20/2021 2:35:48 AM;on
5/20/2021 2:35:59 AM;off
5/20/2021 2:36:42 AM;on
5/20/2021 2:36:53 AM;off
5/20/2021 2:37:48 AM;on
5/20/2021 2:37:58 AM;off
5/20/2021 2:43:30 AM;on
5/20/2021 2:43:40 AM;off
5/20/2021 3:04:48 AM;on
5/20/2021 3:04:58 AM;off
5/20/2021 3:06:12 AM;on
5/20/2021 3:06:22 AM;off
5/20/2021 3:12:00 AM;on
5/20/2021 3:12:10 AM;off
5/20/2021 3:28:19 AM;on
5/20/2021 3:28:29 AM;off
5/20/2021 3:30:07 AM;on
5/20/2021 3:30:17 AM;off
5/20/2021 3:32:24 AM;on
5/20/2021 3:32:34 AM;off
5/20/2021 3:35:07 AM;on
5/20/2021 3:35:16 AM;off
5/20/2021 3:37:37 AM;on
5/20/2021 3:37:47 AM;off
5/20/2021 3:38:31 AM;on
5/20/2021 3:38:41 AM;off
5/20/2021 3:45:48 AM;on
5/20/2021 3:45:58 AM;off
5/20/2021 3:47:13 AM;on
5/20/2021 3:47:24 AM;off
5/20/2021 3:48:07 AM;on
5/20/2021 3:48:18 AM;off
5/20/2021 3:49:01 AM;on
5/20/2021 3:49:12 AM;off
5/20/2021 3:49:55 AM;on
5/20/2021 3:50:06 AM;off
5/20/2021 3:51:07 AM;on
5/20/2021 3:51:18 AM;off
5/20/2021 3:56:43 AM;on
5/20/2021 3:56:53 AM;off
5/20/2021 3:58:07 AM;on
5/20/2021 3:58:17 AM;off
5/20/2021 4:01:37 AM;on
5/20/2021 4:01:48 AM;off
5/20/2021 4:03:43 AM;on
5/20/2021 4:03:54 AM;off
5/20/2021 4:04:37 AM;on
5/20/2021 4:04:48 AM;off
5/20/2021 4:08:25 AM;on
5/20/2021 4:08:35 AM;off
5/20/2021 4:09:49 AM;on
5/20/2021 4:09:59 AM;off
5/20/2021 4:24:07 AM;on
5/20/2021 4:24:18 AM;off
5/20/2021 4:28:13 AM;on
5/20/2021 4:28:23 AM;off
5/20/2021 4:31:13 AM;on
5/20/2021 4:31:23 AM;off
5/20/2021 4:33:19 AM;on
5/20/2021 4:33:29 AM;off
5/20/2021 4:39:19 AM;on
5/20/2021 4:39:29 AM;off
5/20/2021 4:47:32 AM;on
5/20/2021 4:47:43 AM;off
5/20/2021 4:59:26 AM;on
5/20/2021 4:59:36 AM;off
5/20/2021 5:01:20 AM;on
5/20/2021 5:01:31 AM;off
